COUNTY,LAT,LON,MR1,FR1,TR1,MU1,FU1,MT1,FT1,TU1,T1,MR2,FR2,TR2,MU2,FU2,MT2,FT2,TU2,T2,T_ALL
Baringo,0.66925198,35.94646535,68713,65056,133769,4861,4816,73574,69872,9677,143446,16279,15086,31365,1846,1536,18125,16622,3382,34747,178193
Bomet,-0.726294583,35.29859759,111649,108549,220198,3382,3467,115031,112016,6849,227047,27436,23109,50545,208,1008,27644,24117,1216,51761,278808
Bungoma,0.74928524,34.64046088,233557,233804,467361,19480,22725,253037,256529,42205,509566,47178,39711,86889,8953,8162,56131,47873,17115,104004,613570
Busia,0.387443678,34.19363149,113750,115381,229131,10901,10822,124651,126203,21723,250854,18852,14951,33803,3638,3504,22490,18455,7142,40945,291799
Elgeyo Marakwet,0.802218811,35.53656315,55812,55932,111744,3192,2890,59004,58822,6082,117826,13072,14262,27334,1094,1044,14166,15306,2138,29472,147298
Embu,-0.603974378,37.62650133,56923,56633,113556,2715,2647,59638,59280,5362,118918,18683,17950,36633,2288,1612,20971,19562,3900,40533,159451
Garissa,-0.488910345,40.19927854,35729,23207,58936,29107,18361,64836,41568,47468,106404,6206,2074,8280,3971,2368,10177,4442,6339,14619,121023
Homa Bay,-0.542809394,34.35899687,141945,135773,277718,17459,18140,159404,153913,35599,313317,37435,28625,66060,5011,2684,42446,31309,7695,73755,387072
Isiolo,1.010443078,38.54215312,14653,14336,28989,2584,2450,17237,16786,5034,34023,1787,978,2765,855,812,2642,1790,1667,4432,38455
Kajiado,-2.121383578,36.90884219,58273,55947,114220,16885,16396,75158,72343,33281,147501,9364,8309,17673,3434,3372,12798,11681,6806,24479,171980
Kakamega,0.403683464,34.74451115,250541,257147,507688,19662,19410,270203,276557,39072,546760,50430,47776,98206,8092,9359,58522,57135,17451,115657,662417
Kericho,-0.295732906,35.31407001,107259,104504,211763,5880,6211,113139,110715,12091,223854,23525,23127,46652,4883,2375,28408,25502,7258,53910,277764
Kiambu,-1.068706066,36.82356426,107345,105029,212374,44633,44577,151978,149606,89210,301584,41601,42657,84258,15771,15247,57372,57904,31018,115276,416860
Kilifi,-3.175732013,39.68668755,117147,114512,231659,34499,33475,151646,147987,67974,299633,16371,14873,31244,9507,5818,25878,20691,15325,46569,346202
Kirinyaga,-0.524746296,37.31986811,50943,50320,101263,3399,3798,54342,54118,7197,108460,17431,20207,37638,1382,1902,18813,22109,3284,40922,149382
Kisii,-0.774603757,34.77472298,143666,141605,285271,10751,11765,154417,153370,22516,307787,49510,43342,92852,8941,7687,58451,51029,16628,109480,417267
Kisumu,-0.169458695,34.83520347,95207,94749,189956,32826,34235,128033,128984,67061,257017,24830,24017,48847,9057,8296,33887,32313,17353,66200,323217
Kitui,-1.491038531,38.40692102,166717,162726,329443,5975,5819,172692,168545,11794,341237,33294,35470,68764,3425,1368,36719,36838,4793,73557,414794
Kwale,-4.183149527,39.1904119,84369,81327,165696,4566,4408,88935,85735,8974,174670,10799,10787,21586,2420,1491,13219,12278,3911,25497,200167
Laikipia,0.323604123,36.77172786,37931,36261,74192,10303,10312,48234,46573,20615,94807,10999,10358,21357,3708,3793,14707,14151,7501,28858,123665
Lamu,-2.078682544,40.88286068,11391,10507,21898,2223,2450,13614,12957,4673,26571,2742,2159,4901,689,287,3431,2446,976,5877,32448
Machakos,-1.279512307,37.41267603,131066,125056,256122,13620,13373,144686,138429,26993,283115,44007,43004,87011,3322,3711,47329,46715,7033,94044,377159
Makueni,-2.1576841,37.78824557,139577,134762,274339,2672,2489,142249,137251,5161,279500,43604,41970,85574,1564,2202,45168,44172,3766,89340,368840
Mandera,3.436469488,40.73881017,41427,22266,63693,15456,10207,56883,32473,25663,89356,4291,1470,5761,4670,2490,8961,3960,7160,12921,102277
Marsabit,2.978658787,37.56953611,28863,26125,54988,879,744,29742,26869,1623,56611,2434,2012,4446,534,105,2968,2117,639,5085,61696
Meru,0.166779241,37.76403705,149176,153927,303103,7341,7303,156517,161230,14644,317747,38231,41609,79840,2779,3705,41010,45314,6484,86324,404071
Migori,-0.989536844,34.36334531,130960,126528,257488,20303,20519,151263,147047,40822,298310,26735,21454,48189,9234,5052,35969,26506,14286,62475,360785
Mombasa,-4.02125622,39.6508827,1569,1622,3191,59459,59597,61028,61219,119056,122247,623,710,1333,14441,11509,15064,12219,25950,27283,149530
Muranga,-0.809590537,37.03272252,100791,96457,197248,2221,1943,103012,98400,4164,201412,42709,47447,90156,2891,1898,45600,49345,4789,94945,296357
Nairobi,-1.29341347,36.86818927,1261,1322,2583,193562,201169,194823,202491,394731,397314,1273,1231,2504,35839,30941,37112,32172,66780,69284,466598
Nakuru,-0.463675432,36.07847909,153686,151026,304712,56964,55632,210650,206658,112596,417308,33142,30927,64069,22706,22260,55848,53187,44966,109035,526343
Nandi,0.186688887,35.11048767,113121,111795,224916,2119,2225,115240,114020,4344,229260,24487,23591,48078,475,1416,24962,25007,1891,49969,279229
Narok,-1.254790332,35.57632921,120862,109389,230251,6818,7801,127680,117190,14619,244870,11748,7999,19747,3575,2775,15323,10774,6350,26097,270967
Nyamira,-0.6427324,34.96465956,72553,72613,145166,922,930,73475,73543,1852,147018,22741,21301,44042,1980,2135,24721,23436,4115,48157,195175
Nyandarua,-0.322077823,36.48286916,74568,72206,146774,1269,1235,75837,73441,2504,149278,23334,24997,48331,374,278,23708,25275,652,48983,198261
Nyeri,-0.342923589,36.95647813,61223,58399,119622,9703,8996,70926,67395,18699,138321,28053,29727,57780,4614,4447,32667,34174,9061,66841,205162
Samburu,1.316854626,37.11839407,21773,17106,38879,4186,4311,25959,21417,8497,47376,3580,2069,5649,0,0,3580,2069,0,5649,53025
Siaya,-0.062129889,34.2476417,117740,117504,235244,9637,9784,127377,127288,19421,254665,33202,24602,57804,1281,4570,34483,29172,5851,63655,318320
Taita Taveta,-3.434733994,38.418602,29351,28348,57699,5163,5004,34514,33352,10167,67866,7521,9502,17023,2588,970,10109,10472,3558,20581,88447
Tana River,-1.526366604,39.4178692,24958,22791,47749,620,609,25578,23400,1229,48978,3651,1960,5611,59,60,3710,2020,119,5730,54708
Tharaka-Nithi,-0.207061218,37.87029727,47017,47239,94256,1666,1770,48683,49009,3436,97692,16255,18071,34326,2923,1996,19178,20067,4919,39245,136937
Trans Nzoia,1.050954809,34.95741998,102657,104038,206695,13152,13471,115809,117509,26623,233318,19585,16984,36569,6716,6129,26301,23113,12845,49414,282732
Turkana,3.424849196,35.43575846,96194,72666,168860,13504,11843,109698,84509,25347,194207,3353,2860,6213,5969,1783,9322,4643,7752,13965,208172
Uasin Gishu,0.526085892,35.32201167,80731,80773,161504,14095,14263,94826,95036,28358,189862,15587,18211,33798,5012,3749,20599,21960,8761,42559,232421
Vihiga,0.076265796,34.72232304,84323,87610,171933,267,301,84590,87911,568,172501,22581,25189,47770,2935,642,25516,25831,3577,51347,223848
Wajir,1.808137624,40.03498564,29280,17640,46920,9569,8004,38849,25644,17573,64493,5129,2113,7242,2061,1112,7190,3225,3173,10415,74908
West Pokot,1.740106171,35.24384681,76878,72147,149025,5420,5520,82298,77667,10940,159965,8429,5463,13892,101,2180,8530,7643,2281,16173,176138
